USD-SOFR-1D,Fixing
2025-09-22,0.0414
2025-09-19,0.0414
2025-09-18,0.0414
2025-09-17,0.0438
2025-09-16,0.043899999999999995
2025-09-15,0.0451
2025-09-12,0.044199999999999996
2025-09-11,0.0441
2025-09-10,0.043899999999999995
2025-09-09,0.044000000000000004
2025-09-08,0.044000000000000004
2025-09-05,0.044199999999999996
2025-09-04,0.0441
2025-09-03,0.043899999999999995
2025-09-02,0.043899999999999995
2025-08-29,0.0434
2025-08-28,0.0434
2025-08-27,0.0436
2025-08-26,0.0438
2025-08-25,0.0437
2025-08-22,0.0436
2025-08-21,0.0432
2025-08-20,0.0431
2025-08-19,0.0433
2025-08-18,0.0434
2025-08-15,0.0436
2025-08-14,0.0434
2025-08-13,0.0433
2025-08-12,0.0436
2025-08-11,0.0434
2025-08-08,0.0435
2025-08-07,0.0435
2025-08-06,0.0434
2025-08-05,0.0434
2025-08-04,0.0433
2025-08-01,0.0434
2025-07-31,0.043899999999999995
2025-07-30,0.0432
2025-07-29,0.0436
2025-07-28,0.0436
2025-07-25,0.0436
2025-07-24,0.043
2025-07-23,0.042800000000000005
2025-07-22,0.042800000000000005
2025-07-21,0.042800000000000005
2025-07-18,0.043
2025-07-17,0.0434
2025-07-16,0.0434
2025-07-15,0.0437
2025-07-14,0.0433
2025-07-11,0.0431
2025-07-10,0.0431
2025-07-09,0.0432
2025-07-08,0.0434
2025-07-07,0.0433
2025-07-03,0.0435
2025-07-02,0.044000000000000004
2025-07-01,0.0444
2025-06-30,0.044500000000000005
2025-06-27,0.043899999999999995
2025-06-26,0.044000000000000004
2025-06-25,0.0436
2025-06-24,0.043
2025-06-23,0.0429
2025-06-20,0.0429
2025-06-18,0.042800000000000005
2025-06-17,0.0431
2025-06-16,0.0432
2025-06-13,0.042800000000000005
2025-06-12,0.042800000000000005
2025-06-11,0.042800000000000005
2025-06-10,0.042800000000000005
2025-06-09,0.0429
2025-06-06,0.0429
2025-06-05,0.0429
2025-06-04,0.042800000000000005
2025-06-03,0.0432
2025-06-02,0.0435
2025-05-30,0.0435
2025-05-29,0.0433
2025-05-28,0.0433
2025-05-27,0.0431
2025-05-23,0.0426
2025-05-22,0.0426
2025-05-21,0.0426
2025-05-20,0.042699999999999995
2025-05-19,0.0429
2025-05-16,0.043
2025-05-15,0.0431
2025-05-14,0.0429
2025-05-13,0.043
2025-05-12,0.042800000000000005
2025-05-09,0.042800000000000005
2025-05-08,0.0429
2025-05-07,0.043
2025-05-06,0.0432
2025-05-05,0.0433
2025-05-02,0.0436
2025-05-01,0.043899999999999995
2025-04-30,0.0441
2025-04-29,0.0436
